Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
IN,Andrews town,Andrews townIN,29.9,82.2,30417,,,,,IN,Arcadia town,Arcadia townIN,41853
IN,Angola city,Angola cityIN,20.6,86,40107,,,,,IN,Argos town,Argos townIN,43672
IN,Arcadia town,Arcadia townIN,16.8,88,41853,,,,,IN,Arlington CDP,Arlington CDPIN,(X)
IN,Argos town,Argos townIN,17.3,80.7,43672,,,,,IN,Ashley town,Ashley townIN,38857
IN,Arlington CDP,Arlington CDPIN,4.1,78.8,(X),,,,,IN,Atlanta town,Atlanta townIN,45893
IN,Ashley town,Ashley townIN,18.1,83.6,38857,,,,,IN,Attica city,Attica cityIN,37019
IN,Atlanta town,Atlanta townIN,7.9,87.9,45893,,,,,IN,Auburn city,Auburn cityIN,44889
IN,Attica city,Attica cityIN,15.6,82.3,37019,,,,,IN,Aurora city,Aurora cityIN,37429
IN,Auburn city,Auburn cityIN,14.8,89.1,44889,,,,,IN,Austin city,Austin cityIN,34313
IN,Aurora city,Aurora cityIN,15.5,86.5,37429,,,,,IN,Avilla town,Avilla townIN,48807
IN,Austin city,Austin cityIN,21.1,72.3,34313,,,,,IN,Avoca CDP,Avoca CDPIN,85417
IN,Avilla town,Avilla townIN,11.2,90.1,48807,,,,,IN,Avon town,Avon townIN,91393
IN,Avoca CDP,Avoca CDPIN,10.8,100,85417,,,,,IN,Bainbridge town,Bainbridge townIN,50781
IN,Avon town,Avon townIN,3.3,94.2,91393,,,,,IN,Bargersville town,Bargersville townIN,70833
IN,Bainbridge town,Bainbridge townIN,8.3,82.2,50781,,,,,IN,Bass Lake CDP,Bass Lake CDPIN,44375
IN,Bargersville town,Bargersville townIN,8.6,91.4,70833,,,,,IN,Batesville city,Batesville cityIN,54464
IN,Bass Lake CDP,Bass Lake CDPIN,9.7,88,44375,,,,,IN,Battle Ground town,Battle Ground townIN,73750
IN,Batesville city,Batesville cityIN,6.1,94.1,54464,,,,,IN,Bedford city,Bedford cityIN,37706
IN,Battle Ground town,Battle Ground townIN,8.2,95.2,73750,,,,,IN,Beech Grove city,Beech Grove cityIN,36487
IN,Bedford city,Bedford cityIN,19.8,85.6,37706,,,,,IN,Berne city,Berne cityIN,44737
IN,Beech Grove city,Beech Grove cityIN,21.6,85.7,36487,,,,,IN,Bethany town,Bethany townIN,41250
IN,Berne city,Berne cityIN,13.3,91.4,44737,,,,,IN,Beverly Shores town,Beverly Shores townIN,72500
IN,Bethany town,Bethany townIN,35.9,86.6,41250,,,,,IN,Bicknell city,Bicknell cityIN,26979
IN,Beverly Shores town,Beverly Shores townIN,3.1,97.3,72500,,,,,IN,Birdseye town,Birdseye townIN,31563
IN,Bicknell city,Bicknell cityIN,27.9,80.2,26979,,,,,IN,Blanford CDP,Blanford CDPIN,(X)
IN,Birdseye town,Birdseye townIN,17,81.1,31563,,,,,IN,Bloomfield town,Bloomfield townIN,37500
IN,Blanford CDP,Blanford CDPIN,29.9,78.5,(X),,,,,IN,Bloomingdale town,Bloomingdale townIN,47500
IN,Bloomfield town,Bloomfield townIN,15.3,84.8,37500,,,,,IN,Bloomington city,Bloomington cityIN,30019
IN,Bloomingdale town,Bloomingdale townIN,9,94.6,47500,,,,,IN,Blountsville town,Blountsville townIN,37639
IN,Bloomington city,Bloomington cityIN,38.3,93.4,30019,,,,,IN,Bluffton city,Bluffton cityIN,40692
IN,Blountsville town,Blountsville townIN,17.6,80.5,37639,,,,,IN,Boonville city,Boonville cityIN,42955
IN,Bluffton city,Bluffton cityIN,17,88.4,40692,,,,,IN,Borden town,Borden townIN,52614
IN,Boonville city,Boonville cityIN,18.9,88,42955,,,,,IN,Boston town,Boston townIN,(X)
IN,Borden town,Borden townIN,6.9,92.5,52614,,,,,IN,Boswell town,Boswell townIN,39375
IN,Boston town,Boston townIN,18.7,81.3,(X),,,,,IN,Bourbon town,Bourbon townIN,39107
IN,Boswell town,Boswell townIN,22.2,87.2,39375,,,,,IN,Brazil city,Brazil cityIN,28797
IN,Bourbon town,Bourbon townIN,16.5,84.9,39107,,,,,IN,Bremen town,Bremen townIN,45341
IN,Brazil city,Brazil cityIN,29.1,77.9,28797,,,,,IN,Bright CDP,Bright CDPIN,65278
IN,Bremen town,Bremen townIN,12,82.8,45341,,,,,IN,Bristol town,Bristol townIN,46750
IN,Bright CDP,Bright CDPIN,4.5,94.6,65278,,,,,IN,Brook town,Brook townIN,41827
IN,Bristol town,Bristol townIN,10.4,87.2,46750,,,,,IN,Brooklyn town,Brooklyn townIN,52417
IN,Brook town,Brook townIN,19.5,75.9,41827,,,,,IN,Brooksburg town,Brooksburg townIN,(X)
IN,Brooklyn town,Brooklyn townIN,8.9,83.7,52417,,,,,IN,Brookston town,Brookston townIN,44453
IN,Brooksburg town,Brooksburg townIN,22.1,86,(X),,,,,IN,Brookville town,Brookville townIN,38333
IN,Brookston town,Brookston townIN,8.8,90.5,44453,,,,,IN,Brownsburg town,Brownsburg townIN,65651
IN,Brookville town,Brookville townIN,16,85.4,38333,,,,,IN,Brownstown town,Brownstown townIN,38565
IN,Brownsburg town,Brownsburg townIN,3.9,93.5,65651,,,,,IN,Bruceville town,Bruceville townIN,52054
IN,Brownstown town,Brownstown townIN,17.3,84.3,38565,,,,,IN,Bryant town,Bryant townIN,40625
IN,Bruceville town,Bruceville townIN,3.2,89.9,52054,,,,,IN,Buck Creek CDP,Buck Creek CDPIN,(X)
IN,Bryant town,Bryant townIN,15.1,87.3,40625,,,,,IN,Buffalo CDP,Buffalo CDPIN,49943
IN,Buck Creek CDP,Buck Creek CDPIN,0,100,(X),,,,,IN,Bunker Hill town,Bunker Hill townIN,34583
IN,Buffalo CDP,Buffalo CDPIN,11.3,87.1,49943,,,,,IN,Burket town,Burket townIN,40938
IN,Bunker Hill town,Bunker Hill townIN,22.9,78.9,34583,,,,,IN,Burlington town,Burlington townIN,51875
IN,Burket town,Burket townIN,29.7,88,40938,,,,,IN,Burnettsville town,Burnettsville townIN,41161
IN,Burlington town,Burlington townIN,4.8,94.7,51875,,,,,IN,Burns City CDP,Burns City CDPIN,95114
IN,Burnettsville town,Burnettsville townIN,15.1,91.4,41161,,,,,IN,Burns Harbor town,Burns Harbor townIN,70750
IN,Burns City CDP,Burns City CDPIN,0,100,95114,,,,,IN,Butler city,Butler cityIN,37277
IN,Burns Harbor town,Burns Harbor townIN,10.8,91.1,70750,,,,,IN,Butlerville CDP,Butlerville CDPIN,(X)
IN,Butler city,Butler cityIN,19.5,82.6,37277,,,,,IN,Cadiz town,Cadiz townIN,34583
IN,Butlerville CDP,Butlerville CDPIN,28.7,42.5,(X),,,,,IN,Cambridge City town,Cambridge City townIN,34735
IN,Cadiz town,Cadiz townIN,51.1,73.9,34583,,,,,IN,Camden town,Camden townIN,42292
IN,Cambridge City town,Cambridge City townIN,18.6,81.5,34735,,,,,IN,Campbellsburg town,Campbellsburg townIN,27708
IN,Camden town,Camden townIN,11.9,89.9,42292,,,,,IN,Canaan CDP,Canaan CDPIN,(X)
IN,Campbellsburg town,Campbellsburg townIN,33.6,84.5,27708,,,,,IN,Cannelburg town,Cannelburg townIN,59167
IN,Canaan CDP,Canaan CDPIN,0,100,(X),,,,,IN,Cannelton city,Cannelton cityIN,25457
IN,Cannelburg town,Cannelburg townIN,19.2,75.2,59167,,,,,IN,Carbon town,Carbon townIN,38750
IN,Cannelton city,Cannelton cityIN,26.6,81.4,25457,,,,,IN,Carlisle town,Carlisle townIN,46944
IN,Carbon town,Carbon townIN,24.3,81.2,38750,,,,,IN,Carmel city,Carmel cityIN,106433
IN,Carlisle town,Carlisle townIN,17,89.7,46944,,,,,IN,Carthage town,Carthage townIN,36382
IN,Carmel city,Carmel cityIN,3.9,97.9,106433,,,,,IN,Cayuga town,Cayuga townIN,46518
IN,Carthage town,Carthage townIN,25.9,84.3,36382,,,,,IN,Cedar Grove town,Cedar Grove townIN,50000
IN,Cayuga town,Cayuga townIN,18.2,86.1,46518,,,,,IN,Cedar Lake town,Cedar Lake townIN,61651
IN,Cedar Grove town,Cedar Grove townIN,16.7,88.1,50000,,,,,IN,Center Point town,Center Point townIN,42500
IN,Cedar Lake town,Cedar Lake townIN,9.6,88,61651,,,,,IN,Centerville town,Centerville townIN,45433
IN,Center Point town,Center Point townIN,20,81.6,42500,,,,,IN,Chalmers town,Chalmers townIN,53750
IN,Centerville town,Centerville townIN,22.9,90.8,45433,,,,,IN,Chandler town,Chandler townIN,47889
IN,Chalmers town,Chalmers townIN,5.4,94.5,53750,,,,,IN,Charlestown city,Charlestown cityIN,43684
IN,Chandler town,Chandler townIN,22.1,87.2,47889,,,,,IN,Chesterfield town,Chesterfield townIN,39671
IN,Charlestown city,Charlestown cityIN,15.9,83.7,43684,,,,,IN,Chesterton town,Chesterton townIN,71892
IN,Chesterfield town,Chesterfield townIN,12.9,89.3,39671,,,,,IN,Chrisney town,Chrisney townIN,45536
IN,Chesterton town,Chesterton townIN,8.7,92.9,71892,,,,,IN,Churubusco town,Churubusco townIN,47262
IN,Chrisney town,Chrisney townIN,13.3,87.5,45536,,,,,IN,Cicero town,Cicero townIN,63460
IN,Churubusco town,Churubusco townIN,8.4,90.7,47262,,,,,IN,Clarksburg CDP,Clarksburg CDPIN,43103
IN,Cicero town,Cicero townIN,6.4,92.7,63460,,,,,IN,Clarks Hill town,Clarks Hill townIN,41000
IN,Clarksburg CDP,Clarksburg CDPIN,25.4,77.1,43103,,,,,IN,Clarksville town,Clarksville townIN,41829
IN,Clarks Hill town,Clarks Hill townIN,15.8,86.7,41000,,,,,IN,Clay City town,Clay City townIN,34500
IN,Clarksville town,Clarksville townIN,11.6,84.4,41829,,,,,IN,Claypool town,Claypool townIN,38929
IN,Clay City town,Clay City townIN,22.4,89.6,34500,,,,,IN,Clayton town,Clayton townIN,50764
IN,Claypool town,Claypool townIN,22.8,75.3,38929,,,,,IN,Clear Lake town,Clear Lake townIN,71458
IN,Clayton town,Clayton townIN,4.7,91.7,50764,,,,,IN,Clermont town,Clermont townIN,58846
IN,Clear Lake town,Clear Lake townIN,3.6,98.4,71458,,,,,IN,Clifford town,Clifford townIN,40938
IN,Clermont town,Clermont townIN,6.7,94.3,58846,,,,,IN,Clinton city,Clinton cityIN,37888
IN,Clifford town,Clifford townIN,18.8,81.1,40938,,,,,IN,Cloverdale town,Cloverdale townIN,43421
IN,Clinton city,Clinton cityIN,18.1,83.8,37888,,,,,IN,Coalmont CDP,Coalmont CDPIN,(X)
IN,Cloverdale town,Cloverdale townIN,16,83.5,43421,,,,,IN,Coatesville town,Coatesville townIN,41500
IN,Coalmont CDP,Coalmont CDPIN,9.2,94.6,(X),,,,,IN,Colburn CDP,Colburn CDPIN,41417
IN,Coatesville town,Coatesville townIN,16.8,80.1,41500,,,,,IN,Colfax town,Colfax townIN,41923
IN,Colburn CDP,Colburn CDPIN,0,100,41417,,,,,IN,Collegeville CDP,Collegeville CDPIN,-
IN,Colfax town,Colfax townIN,12.3,84.2,41923,,,,,IN,Columbia City city,Columbia City cityIN,42590
IN,Collegeville CDP,Collegeville CDPIN,0,100,-,,,,,IN,Columbus city,Columbus cityIN,56816
IN,Columbia City city,Columbia City cityIN,14.2,84,42590,,,,,IN,Connersville city,Connersville cityIN,32190
IN,Columbus city,Columbus cityIN,11.8,91.8,56816,,,,,IN,Converse town,Converse townIN,37159
IN,Connersville city,Connersville cityIN,24.1,78.6,32190,,,,,IN,Cordry Sweetwater Lakes CDP,Cordry Sweetwater Lakes CDPIN,52128
IN,Converse town,Converse townIN,14.5,84,37159,,,,,IN,Corunna town,Corunna townIN,34286
IN,Cordry Sweetwater Lakes CDP,Cordry Sweetwater Lakes CDPIN,6.2,88.2,52128,,,,,IN,Corydon town,Corydon townIN,32044
IN,Corunna town,Corunna townIN,28.6,86.6,34286,,,,,IN,Country Club Heights town,Country Club Heights townIN,116000
IN,Corydon town,Corydon townIN,28.2,84.9,32044,,,,,IN,Country Squire Lakes CDP,Country Squire Lakes CDPIN,31156
IN,Country Club Heights town,Country Club Heights townIN,1.8,97.5,116000,,,,,IN,Covington city,Covington cityIN,49455
IN,Country Squire Lakes CDP,Country Squire Lakes CDPIN,32.7,68.1,31156,,,,,IN,Crandall town,Crandall townIN,32500
IN,Covington city,Covington cityIN,7.8,93.2,49455,,,,,IN,Crane town,Crane townIN,34583
IN,Crandall town,Crandall townIN,22.2,75.2,32500,,,,,IN,Crawfordsville city,Crawfordsville cityIN,33943
IN,Crane town,Crane townIN,19.5,88.3,34583,,,,,IN,Cromwell town,Cromwell townIN,31528
IN,Crawfordsville city,Crawfordsville cityIN,24.7,83.2,33943,,,,,IN,Crothersville town,Crothersville townIN,40000
IN,Cromwell town,Cromwell townIN,22.2,73.8,31528,,,,,IN,Crown Point city,Crown Point cityIN,63754
IN,Crothersville town,Crothersville townIN,19.7,87.3,40000,,,,,IN,Crows Nest town,Crows Nest townIN,191458
IN,Crown Point city,Crown Point cityIN,6.6,92.6,63754,,,,,IN,Culver town,Culver townIN,44167
IN,Crows Nest town,Crows Nest townIN,0,100,191458,,,,,IN,Cumberland town,Cumberland townIN,50117
IN,Culver town,Culver townIN,12.8,93.6,44167,,,,,IN,Cynthiana town,Cynthiana townIN,50000
IN,Cumberland town,Cumberland townIN,9.5,87.1,50117,,,,,IN,Dale town,Dale townIN,42000
IN,Cynthiana town,Cynthiana townIN,12.8,83.3,50000,,,,,IN,Daleville town,Daleville townIN,42500
IN,Dale town,Dale townIN,16.7,74.2,42000,,,,,IN,Dana town,Dana townIN,41058
IN,Daleville town,Daleville townIN,11,90.4,42500,,,,,IN,Danville town,Danville townIN,53947
IN,Dana town,Dana townIN,20.3,85.3,41058,,,,,IN,Darlington town,Darlington townIN,43500
IN,Danville town,Danville townIN,7.9,92.4,53947,,,,,IN,Darmstadt town,Darmstadt townIN,88352
IN,Darlington town,Darlington townIN,14.7,88.1,43500,,,,,IN,Dayton town,Dayton townIN,58750
IN,Darmstadt town,Darmstadt townIN,5.2,98.7,88352,,,,,IN,Decatur city,Decatur cityIN,39808
IN,Dayton town,Dayton townIN,19.3,90.8,58750,,,,,IN,Decker town,Decker townIN,41750
IN,Decatur city,Decatur cityIN,14.9,89.5,39808,,,,,IN,Delphi city,Delphi cityIN,36850
IN,Decker town,Decker townIN,12.8,77.8,41750,,,,,IN,De Motte town,De Motte townIN,45917
IN,Delphi city,Delphi cityIN,14.8,78.8,36850,,,,,IN,Denver town,Denver townIN,49514
IN,De Motte town,De Motte townIN,9.1,88.4,45917,,,,,IN,Deputy CDP,Deputy CDPIN,-
IN,Denver town,Denver townIN,8.3,90.2,49514,,,,,IN,Dillsboro town,Dillsboro townIN,39440
IN,Deputy CDP,Deputy CDPIN,0,100,-,,,,,IN,Dover Hill CDP,Dover Hill CDPIN,(X)
IN,Dillsboro town,Dillsboro townIN,21,84,39440,,,,,IN,Dresser CDP,Dresser CDPIN,-
IN,Dover Hill CDP,Dover Hill CDPIN,27,73.6,(X),,,,,IN,Dublin town,Dublin townIN,33409
IN,Dresser CDP,Dresser CDPIN,70.8,100,-,,,,,IN,Dubois CDP,Dubois CDPIN,34458
IN,Dublin town,Dublin townIN,22.2,84.5,33409,,,,,IN,Dugger town,Dugger townIN,51115
IN,Dubois CDP,Dubois CDPIN,10.3,81.5,34458,,,,,IN,Dune Acres town,Dune Acres townIN,143125
IN,Dugger town,Dugger townIN,8.9,90.6,51115,,,,,IN,Dunkirk city,Dunkirk cityIN,30492
IN,Dune Acres town,Dune Acres townIN,1.6,97.5,143125,,,,,IN,Dunlap CDP,Dunlap CDPIN,63750
IN,Dunkirk city,Dunkirk cityIN,27.1,75.2,30492,,,,,IN,Dunreith town,Dunreith townIN,45417
IN,Dunlap CDP,Dunlap CDPIN,10,86.2,63750,,,,,IN,Dupont town,Dupont townIN,49000
IN,Dunreith town,Dunreith townIN,29.3,89,45417,,,,,IN,Dyer town,Dyer townIN,79708
IN,Dupont town,Dupont townIN,12.2,90.5,49000,,,,,IN,Earl Park town,Earl Park townIN,44688
IN,Dyer town,Dyer townIN,2.7,92.9,79708,,,,,IN,East Chicago city,East Chicago cityIN,26486
IN,Earl Park town,Earl Park townIN,21,90.2,44688,,,,,IN,East Enterprise CDP,East Enterprise CDPIN,28576
IN,East Chicago city,East Chicago cityIN,35.9,69.8,26486,,,,,IN,East Germantown town,East Germantown townIN,30714
IN,East Enterprise CDP,East Enterprise CDPIN,66.8,93.9,28576,,,,,IN,Eaton town,Eaton townIN,40083
IN,East Germantown town,East Germantown townIN,13,83.3,30714,,,,,IN,Economy town,Economy townIN,34219
IN,Eaton town,Eaton townIN,17.5,89.2,40083,,,,,IN,Edgewood town,Edgewood townIN,58785
IN,Economy town,Economy townIN,20.2,79.2,34219,,,,,IN,Edinburgh town,Edinburgh townIN,38571
IN,Edgewood town,Edgewood townIN,1.6,95.2,58785,,,,,IN,Edwardsport town,Edwardsport townIN,45417
IN,Edinburgh town,Edinburgh townIN,21.4,82.1,38571,,,,,IN,Elberfeld town,Elberfeld townIN,52115
IN,Edwardsport town,Edwardsport townIN,18.2,77.3,45417,,,,,IN,Elizabeth town,Elizabeth townIN,45500
IN,Elberfeld town,Elberfeld townIN,10.7,90.1,52115,,,,,IN,Elizabethtown town,Elizabethtown townIN,40357
IN,Elizabeth town,Elizabeth townIN,7.1,91.9,45500,,,,,IN,Elkhart city,Elkhart cityIN,35371
IN,Elizabethtown town,Elizabethtown townIN,35.8,71.5,40357,,,,,IN,Ellettsville town,Ellettsville townIN,49479
IN,Elkhart city,Elkhart cityIN,26.7,77.6,35371,,,,,IN,Elnora town,Elnora townIN,33750
IN,Ellettsville town,Ellettsville townIN,7.1,86.6,49479,,,,,IN,Elwood city,Elwood cityIN,36282
IN,Elnora town,Elnora townIN,28.7,81.7,33750,,,,,IN,Emison CDP,Emison CDPIN,(X)
IN,Elwood city,Elwood cityIN,20.6,82.1,36282,,,,,IN,English town,English townIN,17438
IN,Emison CDP,Emison CDPIN,0,85.1,(X),,,,,IN,Etna Green town,Etna Green townIN,47708
IN,English town,English townIN,39.6,67.1,17438,,,,,IN,Evansville city,Evansville cityIN,35785
IN,Etna Green town,Etna Green townIN,10.1,81,47708,,,,,IN,Fairland town,Fairland townIN,60313
IN,Evansville city,Evansville cityIN,21,87.5,35785,,,,,IN,Fairmount town,Fairmount townIN,38125
IN,Fairland town,Fairland townIN,7.1,87.1,60313,,,,,IN,Fairview Park town,Fairview Park townIN,46250
IN,Fairmount town,Fairmount townIN,18.4,86.3,38125,,,,,IN,Farmersburg town,Farmersburg townIN,44688
IN,Fairview Park town,Fairview Park townIN,12.2,90.8,46250,,,,,IN,Farmland town,Farmland townIN,36364
IN,Farmersburg town,Farmersburg townIN,14.9,92.9,44688,,,,,IN,Ferdinand town,Ferdinand townIN,55263
IN,Farmland town,Farmland townIN,16.8,91.4,36364,,,,,IN,Fillmore town,Fillmore townIN,46111
IN,Ferdinand town,Ferdinand townIN,7,85.8,55263,,,,,IN,Fishers town,Fishers townIN,95487
IN,Fillmore town,Fillmore townIN,21.5,80.9,46111,,,,,IN,Fish Lake CDP,Fish Lake CDPIN,50313
IN,Fishers town,Fishers townIN,3.2,97.4,95487,,,,,IN,Flora town,Flora townIN,37222
IN,Fish Lake CDP,Fish Lake CDPIN,0,82,50313,,,,,IN,Florence CDP,Florence CDPIN,14189
IN,Flora town,Flora townIN,13.5,87.2,37222,,,,,IN,Fontanet CDP,Fontanet CDPIN,96042
IN,Florence CDP,Florence CDPIN,33.3,35.9,14189,,,,,IN,Fort Branch town,Fort Branch townIN,46466
IN,Fontanet CDP,Fontanet CDPIN,0,97.4,96042,,,,,IN,Fortville town,Fortville townIN,43750
IN,Fort Branch town,Fort Branch townIN,8,94,46466,,,,,IN,Fort Wayne city,Fort Wayne cityIN,43774
IN,Fortville town,Fortville townIN,16.1,91.9,43750,,,,,IN,Fountain City town,Fountain City townIN,38611
IN,Fort Wayne city,Fort Wayne cityIN,19,88.3,43774,,,,,IN,Fowler town,Fowler townIN,42241
IN,Fountain City town,Fountain City townIN,15.5,86.2,38611,,,,,IN,Fowlerton town,Fowlerton townIN,34375
IN,Fowler town,Fowler townIN,15.8,90.9,42241,,,,,IN,Francesville town,Francesville townIN,48281
IN,Fowlerton town,Fowlerton townIN,15.2,89.7,34375,,,,,IN,Francisco town,Francisco townIN,37946
IN,Francesville town,Francesville townIN,11.4,85.5,48281,,,,,IN,Frankfort city,Frankfort cityIN,38801
IN,Francisco town,Francisco townIN,16.1,90.1,37946,,,,,IN,Franklin city,Franklin cityIN,51033
IN,Frankfort city,Frankfort cityIN,17.1,81.1,38801,,,,,IN,Frankton town,Frankton townIN,46810
IN,Franklin city,Franklin cityIN,12.1,88.9,51033,,,,,IN,Fredericksburg CDP,Fredericksburg CDPIN,17500
IN,Frankton town,Frankton townIN,11.9,91.4,46810,,,,,IN,Freelandville CDP,Freelandville CDPIN,71098
IN,Fredericksburg CDP,Fredericksburg CDPIN,76.4,45.8,17500,,,,,IN,Freetown CDP,Freetown CDPIN,(X)
IN,Freelandville CDP,Freelandville CDPIN,1.9,92.5,71098,,,,,IN,Fremont town,Fremont townIN,41287
IN,Freetown CDP,Freetown CDPIN,3.4,88.1,(X),,,,,IN,French Lick town,French Lick townIN,28603
IN,Fremont town,Fremont townIN,13.9,88,41287,,,,,IN,Fulton town,Fulton townIN,47143
IN,French Lick town,French Lick townIN,33.7,72.9,28603,,,,,IN,Galena CDP,Galena CDPIN,72000
IN,Fulton town,Fulton townIN,26.4,93,47143,,,,,IN,Galveston town,Galveston townIN,47593
IN,Galena CDP,Galena CDPIN,1.1,90.1,72000,,,,,IN,Garrett city,Garrett cityIN,41607
IN,Galveston town,Galveston townIN,12.7,94,47593,,,,,IN,Gary city,Gary cityIN,28020
IN,Garrett city,Garrett cityIN,19,84.9,41607,,,,,IN,Gas City city,Gas City cityIN,41979
IN,Gary city,Gary cityIN,37.1,83.9,28020,,,,,IN,Gaston town,Gaston townIN,40240
IN,Gas City city,Gas City cityIN,17.2,83.8,41979,,,,,IN,Geneva town,Geneva townIN,35313
IN,Gaston town,Gaston townIN,18,90,40240,,,,,IN,Gentryville town,Gentryville townIN,45972
IN,Geneva town,Geneva townIN,18,82.2,35313,,,,,IN,Georgetown town,Georgetown townIN,69167
IN,Gentryville town,Gentryville townIN,18.1,83.3,45972,,,,,IN,Glenwood town,Glenwood townIN,46786
IN,Georgetown town,Georgetown townIN,2.5,93.6,69167,,,,,IN,Goodland town,Goodland townIN,47083
IN,Glenwood town,Glenwood townIN,23.7,86.4,46786,,,,,IN,Goshen city,Goshen cityIN,41117
IN,Goodland town,Goodland townIN,18,86.1,47083,,,,,IN,Gosport town,Gosport townIN,38977
IN,Goshen city,Goshen cityIN,22.6,76,41117,,,,,IN,Grabill town,Grabill townIN,45474
IN,Gosport town,Gosport townIN,18.5,78.8,38977,,,,,IN,Grandview town,Grandview townIN,36750
IN,Grabill town,Grabill townIN,11.9,94.8,45474,,,,,IN,Granger CDP,Granger CDPIN,92537
IN,Grandview town,Grandview townIN,30.3,84.9,36750,,,,,IN,Greencastle city,Greencastle cityIN,45315
IN,Granger CDP,Granger CDPIN,4.3,96.7,92537,,,,,IN,Greendale city,Greendale cityIN,58281
IN,Greencastle city,Greencastle cityIN,12.7,87.1,45315,,,,,IN,Greenfield city,Greenfield cityIN,53459
IN,Greendale city,Greendale cityIN,8.6,95.7,58281,,,,,IN,Greensboro town,Greensboro townIN,30000
IN,Greenfield city,Greenfield cityIN,8.5,90.6,53459,,,,,IN,Greensburg city,Greensburg cityIN,44744
IN,Greensboro town,Greensboro townIN,30.2,89.4,30000,,,,,IN,Greens Fork town,Greens Fork townIN,41771
IN,Greensburg city,Greensburg cityIN,18.9,87.3,44744,,,,,IN,Greentown town,Greentown townIN,43011
IN,Greens Fork town,Greens Fork townIN,29.9,82.1,41771,,,,,IN,Greenville town,Greenville townIN,59545
IN,Greentown town,Greentown townIN,19.2,87.4,43011,,,,,IN,Greenwood city,Greenwood cityIN,54176
IN,Greenville town,Greenville townIN,8.4,94.6,59545,,,,,IN,Griffin town,Griffin townIN,42500
IN,Greenwood city,Greenwood cityIN,13.7,91.5,54176,,,,,IN,Griffith town,Griffith townIN,55490
IN,Griffin town,Griffin townIN,15.9,82.7,42500,,,,,IN,Grissom AFB CDP,Grissom AFB CDPIN,40746
IN,Griffith town,Griffith townIN,10.8,92.1,55490,,,,,IN,Hagerstown town,Hagerstown townIN,43424
IN,Grissom AFB CDP,Grissom AFB CDPIN,26.3,79.5,40746,,,,,IN,Hamilton town,Hamilton townIN,48558
IN,Hagerstown town,Hagerstown townIN,12.4,92.5,43424,,,,,IN,Hamlet town,Hamlet townIN,47308
IN,Hamilton town,Hamilton townIN,11.5,87.7,48558,,,,,IN,Hammond city,Hammond cityIN,39576
IN,Hamlet town,Hamlet townIN,17.2,80.3,47308,,,,,IN,Hanna CDP,Hanna CDPIN,59722
IN,Hammond city,Hammond cityIN,24.9,79.5,39576,,,,,IN,Hanover town,Hanover townIN,40758
IN,Hanna CDP,Hanna CDPIN,6.1,99.6,59722,,,,,IN,Hardinsburg town,Hardinsburg townIN,40000
IN,Hanover town,Hanover townIN,24.8,83.7,40758,,,,,IN,Harlan CDP,Harlan CDPIN,64188
IN,Hardinsburg town,Hardinsburg townIN,24.9,85.2,40000,,,,,IN,Harmony town,Harmony townIN,41853
IN,Harlan CDP,Harlan CDPIN,4.4,79.3,64188,,,,,IN,Harrodsburg CDP,Harrodsburg CDPIN,51964
IN,Harmony town,Harmony townIN,6.8,89.4,41853,,,,,IN,Hartford City city,Hartford City cityIN,37934
IN,Harrodsburg CDP,Harrodsburg CDPIN,23.4,83.9,51964,,,,,IN,Hartsville town,Hartsville townIN,43594
IN,Hartford City city,Hartford City cityIN,16,83.6,37934,,,,,IN,Hatfield CDP,Hatfield CDPIN,50563
IN,Hartsville town,Hartsville townIN,9,91.8,43594,,,,,IN,Haubstadt town,Haubstadt townIN,62000
IN,Hatfield CDP,Hatfield CDPIN,8.5,88.2,50563,,,,,IN,Hayden CDP,Hayden CDPIN,53889
IN,Haubstadt town,Haubstadt townIN,7.3,93.7,62000,,,,,IN,Hazleton town,Hazleton townIN,45769
IN,Hayden CDP,Hayden CDPIN,12.8,98,53889,,,,,IN,Hebron town,Hebron townIN,47880
IN,Hazleton town,Hazleton townIN,11,89.8,45769,,,,,IN,Henryville CDP,Henryville CDPIN,55962
IN,Hebron town,Hebron townIN,15.5,86.7,47880,,,,,IN,Herbst CDP,Herbst CDPIN,(X)
IN,Henryville CDP,Henryville CDPIN,14.9,76.6,55962,,,,,IN,Heritage Lake CDP,Heritage Lake CDPIN,62188
IN,Herbst CDP,Herbst CDPIN,0,100,(X),,,,,IN,Hidden Valley CDP,Hidden Valley CDPIN,80667
IN,Heritage Lake CDP,Heritage Lake CDPIN,11.1,95.7,62188,,,,,IN,Highland town,Highland townIN,61806
IN,Hidden Valley CDP,Hidden Valley CDPIN,3.8,96.2,80667,,,,,IN,Highland CDP,Highland CDPIN,66188
IN,Highland town,Highland townIN,7.5,92.4,61806,,,,,IN,Hillsboro town,Hillsboro townIN,35096
IN,Highland CDP,Highland CDPIN,2.2,97.5,66188,,,,,IN,Hoagland CDP,Hoagland CDPIN,42500
IN,Hillsboro town,Hillsboro townIN,19.9,91.4,35096,,,,,IN,Hobart city,Hobart cityIN,58246
IN,Hoagland CDP,Hoagland CDPIN,6.8,91.7,42500,,,,,IN,Holland town,Holland townIN,43594
IN,Hobart city,Hobart cityIN,10.1,88.4,58246,,,,,IN,Holton town,Holton townIN,36786
IN,Holland town,Holland townIN,24,90.7,43594,,,,,IN,Homecroft town,Homecroft townIN,73750
