Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
AL,Bon Secour CDP,Bon Secour CDPAL,18.2,79,(X),,,,,AL,Bon Secour CDP,Bon Secour CDPAL,(X)
AL,Boykin CDP,Boykin CDPAL,53.7,53.7,(X),,,,,AL,Boykin CDP,Boykin CDPAL,(X)
AL,Brantley town,Brantley townAL,20.7,75.1,27870,,,,,AL,Brantley town,Brantley townAL,27870
AL,Brantleyville CDP,Brantleyville CDPAL,19.2,85.1,40370,,,,,AL,Brantleyville CDP,Brantleyville CDPAL,40370
AL,Brent city,Brent cityAL,17.3,73.8,33924,,,,,AL,Brent city,Brent cityAL,33924
AL,Brewton city,Brewton cityAL,27.8,84.5,31033,,,,,AL,Brewton city,Brewton cityAL,31033
AL,Bridgeport city,Bridgeport cityAL,34.7,74.9,28571,,,,,AL,Bridgeport city,Bridgeport cityAL,28571
AL,Brighton city,Brighton cityAL,33,78.6,22146,,,,,AL,Brighton city,Brighton cityAL,22146
AL,Brilliant town,Brilliant townAL,22.5,75.9,25893,,,,,AL,Brilliant town,Brilliant townAL,25893
AL,Bristow Cove CDP,Bristow Cove CDPAL,39.7,65.1,(X),,,,,AL,Bristow Cove CDP,Bristow Cove CDPAL,(X)
AL,Brook Highland CDP,Brook Highland CDPAL,11.5,96.2,60212,,,,,AL,Brook Highland CDP,Brook Highland CDPAL,60212
AL,Brookside town,Brookside townAL,19.2,78.7,34554,,,,,AL,Brookside town,Brookside townAL,34554
AL,Brookwood town,Brookwood townAL,10.8,83.1,51515,,,,,AL,Brookwood town,Brookwood townAL,51515
AL,Broomtown CDP,Broomtown CDPAL,23.8,66.2,28750,,,,,AL,Broomtown CDP,Broomtown CDPAL,28750
AL,Brundidge city,Brundidge cityAL,32.4,77.2,23819,,,,,AL,Brundidge city,Brundidge cityAL,23819
AL,Bucks CDP,Bucks CDPAL,0,100,-,,,,,AL,Bucks CDP,Bucks CDPAL,-
AL,Butler town,Butler townAL,25.3,80.2,28950,,,,,AL,Butler town,Butler townAL,28950
AL,Calera city,Calera cityAL,5.8,89.1,62893,,,,,AL,Calera city,Calera cityAL,62893
AL,Calvert CDP,Calvert CDPAL,79.4,22.8,-,,,,,AL,Calvert CDP,Calvert CDPAL,-
AL,Camden city,Camden cityAL,31.9,82.8,28375,,,,,AL,Camden city,Camden cityAL,28375
AL,Camp Hill town,Camp Hill townAL,36.6,76.6,25118,,,,,AL,Camp Hill town,Camp Hill townAL,25118
AL,Carbon Hill city,Carbon Hill cityAL,32.2,65.4,25990,,,,,AL,Carbon Hill city,Carbon Hill cityAL,25990
AL,Cardiff town,Cardiff townAL,30,72.7,(X),,,,,AL,Cardiff town,Cardiff townAL,(X)
AL,Carlisle-Rockledge CDP,Carlisle-Rockledge CDPAL,17.2,73.1,35938,,,,,AL,Carlisle-Rockledge CDP,Carlisle-Rockledge CDPAL,35938
AL,Carlton CDP,Carlton CDPAL,18.9,77,(X),,,,,AL,Carlton CDP,Carlton CDPAL,(X)
AL,Carolina town,Carolina townAL,7.4,87.8,50278,,,,,AL,Carolina town,Carolina townAL,50278
AL,Carrollton town,Carrollton townAL,29.1,71,27857,,,,,AL,Carrollton town,Carrollton townAL,27857
AL,Castleberry town,Castleberry townAL,39.6,75.9,20677,,,,,AL,Castleberry town,Castleberry townAL,20677
AL,Catherine CDP,Catherine CDPAL,0,100,-,,,,,AL,Catherine CDP,Catherine CDPAL,-
AL,Cedar Bluff town,Cedar Bluff townAL,25.8,77.9,36389,,,,,AL,Cedar Bluff town,Cedar Bluff townAL,36389
AL,Center Point city,Center Point cityAL,25,87.1,39944,,,,,AL,Center Point city,Center Point cityAL,39944
AL,Centre city,Centre cityAL,25.1,76.7,31268,,,,,AL,Centre city,Centre cityAL,31268
AL,Centreville city,Centreville cityAL,22.4,81.6,41103,,,,,AL,Centreville city,Centreville cityAL,41103
AL,Chatom town,Chatom townAL,19.8,76,35365,,,,,AL,Chatom town,Chatom townAL,35365
AL,Chelsea city,Chelsea cityAL,4.9,93.5,85757,,,,,AL,Chelsea city,Chelsea cityAL,85757
AL,Cherokee town,Cherokee townAL,19.9,80.9,28359,,,,,AL,Cherokee town,Cherokee townAL,28359
AL,Chickasaw city,Chickasaw cityAL,33.6,79.9,30973,,,,,AL,Chickasaw city,Chickasaw cityAL,30973
AL,Childersburg city,Childersburg cityAL,38.6,78.8,25948,,,,,AL,Childersburg city,Childersburg cityAL,25948
AL,Choccolocco CDP,Choccolocco CDPAL,14.7,89.4,54825,,,,,AL,Choccolocco CDP,Choccolocco CDPAL,54825
AL,Chunchula CDP,Chunchula CDPAL,0,91.2,(X),,,,,AL,Chunchula CDP,Chunchula CDPAL,(X)
AL,Citronelle city,Citronelle cityAL,16.9,82.5,48125,,,,,AL,Citronelle city,Citronelle cityAL,48125
AL,Clanton city,Clanton cityAL,16.9,76.8,39823,,,,,AL,Clanton city,Clanton cityAL,39823
AL,Clay city,Clay cityAL,6.6,92.2,68717,,,,,AL,Clay city,Clay cityAL,68717
AL,Clayhatchee town,Clayhatchee townAL,16.4,85.3,32656,,,,,AL,Clayhatchee town,Clayhatchee townAL,32656
AL,Clayton town,Clayton townAL,29.3,57.8,25203,,,,,AL,Clayton town,Clayton townAL,25203
AL,Cleveland town,Cleveland townAL,15,74.4,40909,,,,,AL,Cleveland town,Cleveland townAL,40909
AL,Clio city,Clio cityAL,31.4,63.1,19539,,,,,AL,Clio city,Clio cityAL,19539
AL,Coaling town,Coaling townAL,19.5,88.2,54167,,,,,AL,Coaling town,Coaling townAL,54167
AL,Coats Bend CDP,Coats Bend CDPAL,15,90.9,42821,,,,,AL,Coats Bend CDP,Coats Bend CDPAL,42821
AL,Coffee Springs town,Coffee Springs townAL,21.2,78,33636,,,,,AL,Coffee Springs town,Coffee Springs townAL,33636
AL,Coffeeville town,Coffeeville townAL,41.3,71.7,19583,,,,,AL,Coffeeville town,Coffeeville townAL,19583
AL,Coker town,Coker townAL,10,89.2,45795,,,,,AL,Coker town,Coker townAL,45795
AL,Collinsville town,Collinsville townAL,32.1,52,25795,,,,,AL,Collinsville town,Collinsville townAL,25795
AL,Colony town,Colony townAL,24.8,77,33063,,,,,AL,Colony town,Colony townAL,33063
AL,Columbia town,Columbia townAL,20.1,79,31806,,,,,AL,Columbia town,Columbia townAL,31806
AL,Columbiana city,Columbiana cityAL,24,74.4,32700,,,,,AL,Columbiana city,Columbiana cityAL,32700
AL,Concord CDP,Concord CDPAL,7.9,91.3,44620,,,,,AL,Concord CDP,Concord CDPAL,44620
